id,name,close ,up,up%,vol,fi_buy,fi_sell,fi_net,fi_ho,hi_hora,tr_buy,tr_sell,tr_net,se_buy,se_sell,se_net,ma_buy,ma_sell,ma_net
188,19'01/15,70.3,1.6,2.33,"34,095","24,281","11,830","12,451","5,803,258",41.9,340,0,340,746,"1,029",-283,"25,367","12,859","12,508"
189,19'01/16,70.2,-0.1,-0.14,"16,979","8,031","9,203","-1,172","5,801,199",41.8,0,419,-419,125,619,-494,"8,156","10,241","-2,085"
190,19'01/17,70.4,0.2,0.28,"14,229","9,944","6,335","3,610","5,805,077",41.9,20,130,-110,43,"1,013",-970,"10,007","7,478","2,530"
191,19'01/18,70.8,0.4,0.57,"13,990","9,411","6,109","3,301","5,808,389",41.9,30,0,30,199,206,-7,"9,640","6,315","3,324"
192,19'01/21,71.2,0.4,0.56,"13,812","8,307","3,335","4,971","5,813,510",41.9,0,803,-803,208,284,-75.8,"8,515","4,422","4,093"
193,19'01/22,70.7,-0.5,-0.7,"9,805","5,454","5,727",-273,"5,813,558",41.9,42,4,38,84,266,-182,"5,580","5,997",-417
194,19'01/23,69.7,-1,-1.41,"14,219","5,150","9,317","-4,167","5,812,934",41.9,245,42,203,206,286,-80,"5,601","9,645","-4,044"
195,19'01/24,70,0.3,0.43,"21,008","15,124","15,303",-179,"5,817,468",42,97,0,97,231,94,137,"15,452","15,397",55.1
196,19'01/25,70.7,0.7,1,"37,127","31,148","27,539","3,609","5,822,662",42,95,25,70,656,123,533,"31,899","27,687","4,212"
197,19'01/28,70.8,0.1,0.14,"25,777","20,473","18,291","2,182","5,830,844",42.1,60,173,-113,172,392,-220,"20,705","18,856","1,849"
198,19'01/29,69.9,-0.9,-1.27,"25,437","16,037","21,492","-5,455","5,825,389",42,80,0,80,208,35,173,"16,325","21,527","-5,202"
199,19'01/30,70,0.1,0.14,"32,867","25,084","26,231","-1,147","5,824,664",42,1,0,1,205,74,131,"25,290","26,305","-1,015"
200,19'02/11,69.9,-0.1,-0.14,"40,173","25,457","23,306","2,151","5,826,952",42,13,0,13,122,421,-299,"25,592","23,727","1,865"
201,19'02/12,72,2.1,3,"39,354","25,342","7,128","18,214","5,841,232",42.1,0,10,-10,"1,257",70,"1,187","26,599","7,208","19,391"
202,19'02/13,72,0,0,"31,354","16,114","15,724",390,"5,841,639",42.1,7,0,7,602,"1,234",-632,"16,723","16,958",-235
203,19'02/14,71.4,-0.6,-0.83,"15,002","4,274","9,971","-5,697","5,833,951",42.1,0,0,0,199,269,-70,"4,473","10,240","-5,767"
204,19'02/15,70.3,-1.1,-1.54,"24,217","6,786","18,725","-11,939","5,822,010",42,46,168,-122,185,520,-335,"7,017","19,413","-12,396"
